,Job Title,Job Description,Job Salary,Job Company,Job Link,Job Type
28,Java Junior Analyst - Advanced English,Experience with Groovy or Python a plus but not required. Develop customer configurations and business rules. Test business work flows and software applications…,"$25,000 - $30,000 al mes",CrossBridge Technology Solutions,/pagead/clk?mo=r&ad=-6NYlbfkN0DERWds5kqmESEa7-sVGmxVS-4FOxsEqVfCe7w0XTZCpBNhHMWxndp-4qvJduTjFRnGQeY2Pm8NO34n64r6KXcw6T78AmF6DZg9aWhmqcpX5ZmFe--IZF7xWf7Wamnv2y5VW5di3VoB5uT-WsSpalGJ33Ju0cJF6_fsZ2mvFAy_GsPeb1leeFc4yPp_GS7Wc0wOu4vboZHqxyMgHmIvtu7KEBpKFaOoiGK2UwM1RbWNjQELKm9H9wBD63xsD4DoSM2R2gk21i9KNJspVbc7tq1TKhKXxe8yJjYcCYZ_tBslstbCILhOLIqwEOKoceLEnu59xKVO-bLI7u13SbdEczPCryZApIydikF2JgCGPPpQeEnc7LUWsT7OkAWLDUCZFipL2MBWJyp4H1Ned_K2k97_dva1puSGQjgJmb3BDioZIM7dMSwGUNQP-3VxQNwql4k=&p=0&fvj=1&vjs=3,python
29,Desarrollador python sr,Participar en el desarrollo de las interfaces HTML de nuestra plataforma. Generar la arquitectura y diseño de interacción de nuestra plataforma.,"$30,000 al mes",INFOTEC,/rc/clk?jk=c34386404ebb010a&fccid=0494aef3cd014797&vjs=3,python
30,DESARROLLO WEB,"Estas en busca de seguir desarrollándote como desarrollador web, esta es tu oportunidad, ingresar con nosotros y aprende de nuestro equipo de trabajo con mas de…","$15,000 - $20,000 al mes",e-Bitware,/company/e--Bitware/jobs/Desarrollo-web-4516379ace852b02?fccid=8cbc066076207470&vjs=3,python
31,"Ingeniero SOC, Consultor SOC, Soporte Seguridad","Experiencia en herramientas de red y seguridad – Nessus, Nmap, Paros, Perl, Python. Somos un fabricante líder en ciberseguridad a nivel mundial, cuidamos de…","$18,000 - $21,000 al mes",Reclutamiento IT,/company/Reclutamiento-IT/jobs/Ingeniero-soc-939b696e641077af?fccid=dd616958bd9ddc12&vjs=3,python
32,Desarrolladro Back End,"Conocimiento de medio a avanzado en Python. Ingeniero/Licenciado en Sistemas, Computación, Informática o afines. Bases de datos MS SQL y PostgreSQL.","$18,000 al mes",Populus Insurtech,/rc/clk?jk=f13a184fc65b2735&fccid=5b2073099c502a36&vjs=3,python
33,Desarrollador Back-end Jr.,"Somos un equipo multicultural trabajando en la transformación del ecosistema e-commerce, actualmente nuestra plataforma está cambiando de manera radical la…","$15,000 - $25,000 al mes",Entropy,/pagead/clk?mo=r&ad=-6NYlbfkN0A7W8bu-BrN6O4YMqx2Eb1XMwu61DvilGGEb23gRiMY10iEccBQCqJa3K4xfdFFBR0SZ4SNBwUp1wArcgYwLABihWXakehMp7BAMqHP2t1nKHrM5PFwe3BkZkcdoF3-Zj5qSW7l4JsNhVHpixcA-6yFbLzSJUpQ5Vi7CzjOF8xcd4ucQ6oqrBtq7bu7d_N3Pg0Mp49_UVNixcfunc0NthM7TFKV62hRcas5TyS5VG1x3Ga2bFjZX1S2gjvYuqIov_FdH_7n2gXZ3VQ7-Vp9iPiZ6dzNPrCmBSWkCa_lf6UVWCYo6mUgFvagfzIdYSs49GCxtp0M2OVnWc8Wpo0bqBBFMfakDGooamwVSQnMFVcq4PRsdJNhXvqPbrBod_p90asyBvHTVAngigZnosH5ByTLrXpbZjyFzUjmxDDqIaU6xw==&p=11&fvj=1&vjs=3,python
34,DESARROLLADOR ORACLE SOA JR,"Java, XML, Python, Shell, Script, HTML. En Informática, Sistemas, Computación, o afín. Inglés Intermedio (correos, formatos, aplicativos, servicios, sistema).","$35,000 al mes",DISH/MVS,/rc/clk?jk=29e54cdd073d1829&fccid=d804f853d432b5ba&vjs=3,python
35,Programador Jr.,"Estamos en búsqueda de PROGRAMADORES JUNIORcon experticia de cuarta generación en C#, Java, Python, .Net También requerimos conocimientos de SQL y de paquetería…","$8,000 - $10,000 al mes",Best Collect SA de CV,/rc/clk?jk=b45d14b2e3364aa7&fccid=f5d50e9046184cd8&vjs=3,python
36,DESARROLLADOR PHP,"Estas en busca de seguir desarrollándote como desarrollador web, esta es tu oportunidad, ingresar con nosotros y aprende de nuestro equipo de trabajo con mas de…","$15,000 - $20,000 al mes",e-Bitware,/company/e--Bitware/jobs/Desarrollador-PHP-de4b408f8dbeb45a?fccid=8cbc066076207470&vjs=3,python
37,"Arquitecto de soluciones y datos (DWH, Data Lake, Hadoop)","Deseable conocimiento R, Python, SQL, Julia, SPSS (a nivel arquitectura, no es necesario a nivel programación). TECNOLOGÍA BI NET MÉXICO SOLICITA:","$30,000 - $40,000 al mes",Tecnología Bi Net México S.A. de C.V.,/company/Tecnolog%C3%ADa-Bi-Net-M%C3%A9xico-S.A.-de-C.V./jobs/Arquitecto-soluciones-datos-0545f17e9a682ffc?fccid=54bb9676561215fc&vjs=3,python
38,Consultor ETL DataStage,"SQL, Mysql, DB2, SQL Server Integration Service NetBeans, C#, JAVA, SQL (DB2, SQL Server, MYSQL, SQLite,) Python. Experiencia 2 años en el rol mencionado.","$35,000 al mes",Xideral,/company/Xideral/jobs/Consultor-ETL-datastage-a7c6ad7fe23326ae?fccid=24fa6b063feb78b9&vjs=3,python
39,Frontend Developer,"IMPORTANTE EMPRESA DE DESARROLLO DE APLICACIONES SOLICITA FROT END DEVELOPER*. Experiencia mínima de 3 años en el puesto. \*Javascript, HTML, CSS, AJAX, SASS.","$15,000 - $16,000 al mes",theotherdeveloper,/company/Head-Hunters-Reclutamiento-GPV/jobs/Frontend-developer-3f48287f3b33ae5c?fccid=658f3c9b65e5b8bd&vjs=3,python
40,LINUX SERVERS ADMINISTRATOR,"Administración de sistemas Linux (OEL/CentOS/Red Hat), Troubleshooting en sistemas Linux Sistemas y herramientas de seguridad Linux , Deseable manejo de…","$40,000 al mes",GrupoTHS,/rc/clk?jk=82c3a50ed7db4a12&fccid=942c4ec626ccb63b&vjs=3,python
41,Desarrollador Back-end Jr.,"Somos un equipo multicultural trabajando en la transformación del ecosistema e-commerce, actualmente nuestra plataforma está cambiando de manera radical la…","$15,000 - $25,000 al mes",Entropy,/pagead/clk?mo=r&ad=-6NYlbfkN0A7W8bu-BrN6O4YMqx2Eb1XMwu61DvilGGEb23gRiMY10iEccBQCqJa3K4xfdFFBR0SZ4SNBwUp1wArcgYwLABihWXakehMp7BAMqHP2t1nKHrM5PFwe3BkZkcdoF3-Zj5qSW7l4JsNhVHpixcA-6yFbLzSJUpQ5VgUueNgXVwA0u5etpEsG33v9cp44cMeJ9VovBL-x1yue9kbmUqs6ak1ZlmVxScfmQALrZB-Dy3XNUKO2Da_xQ8dJiUfEgayH5pN0nm6_EVgDYoLyi61YQqTTZKGDHVXPkxQsvoRIV4YoTq0d-gsRAj2m86NxYhhGKN7T3Gy1_TvyFMfzrp4JJO7clcCXOUvdgU6ex9hZBJG1kyjwWeljOhw4dwTclQ-f4-qHdyhJIqaKoLzrjctSozih3HSehYtWSqLCkfEm8ZzOA==&p=11&fvj=1&vjs=3,python
42,Java Junior Analyst - Advanced English,Experience with Groovy or Python a plus but not required. Develop customer configurations and business rules. Test business work flows and software applications…,"$25,000 - $30,000 al mes",CrossBridge Technology Solutions,/pagead/clk?mo=r&ad=-6NYlbfkN0DERWds5kqmESEa7-sVGmxVS-4FOxsEqVfCe7w0XTZCpBNhHMWxndp-4qvJduTjFRnGQeY2Pm8NO34n64r6KXcw6T78AmF6DZg9aWhmqcpX5ZmFe--IZF7xWf7Wamnv2y5VW5di3VoB5uT-WsSpalGJ33Ju0cJF6_f_vGiqd87pXBDiUZTMa7Jg6TPfgttbOtzXPe9lUsYoLv5YWCvo5FqXhirOWCYHlobmJgYesWP3XUT2e0Xe3S7PdAXmIYWxQPyqxK4zQEjl3qxuEVgUaaGMXHeFtoLa9w5_btdmoKC6EIlyeyw3Y5yzoh-tbLQYNs8EOK5q0XEzUubW1FNnrWJar4LhgpaGZcewFX4rrtzbMVl8hmj3MAMYLwABHgyj6V4Fg82EVADur5SRXh_C2qPukzGFM2bXBCn3qrthdI2xOaSjuy4NeaE40R32mLqNN-I=&p=13&fvj=1&vjs=3,python
43,Ingeniero Base de Datos Junior,Se busca Ingeniero en computación o carrera a fin para realizar las siguientes actividades. Desarrollo e integración con bases de datos.,"$14,000 al mes",IPCom,/rc/clk?jk=d1a59b1f0763c8d4&fccid=39e6c562f28c1c5a&vjs=3,python
44,Especialista de Informacion Estrategica AT&T,"\*Programación en C++, CCS, ASP NET, JSP, PHP, JAVA, Python o similar Orientado a Objetos. En AT&T estamos buscando el mejor talento para construir el futuro.","$17,000 - $17,500 al mes",AT&T,/company/AT&T/jobs/Especialista-informacion-estrategica-AT&T-96106213e830cda2?fccid=25b5166547bbf543&vjs=3,python
45,Desarrollador Qt/C++,Programación de sistemas con o sin interfaz para aplicaciones de visión inteligente. Integración de API's o SDK propietarios o de terceros.,"$25,000 - $30,000 al mes",Kanan Smart Solution,"/company/SolexVintel-Alimentos,-S.A.P.I.-de-C.V./jobs/Desarrollador-qt-76255e32c96b7987?fccid=dfb6846df8efa320&vjs=3",python
46,Java Junior Analyst - Advanced English,Experience with Groovy or Python a plus but not required. Develop customer configurations and business rules. Test business work flows and software applications…,"$25,000 - $30,000 al mes",CrossBridge Technology Solutions,/pagead/clk?mo=r&ad=-6NYlbfkN0DERWds5kqmESEa7-sVGmxVS-4FOxsEqVfCe7w0XTZCpBNhHMWxndp-4qvJduTjFRnGQeY2Pm8NO34n64r6KXcw6T78AmF6DZg9aWhmqcpX5ZmFe--IZF7xWf7Wamnv2y5VW5di3VoB5uT-WsSpalGJ33Ju0cJF6_cdT202ktYXTE_qC7bLkENnvz6oo0SkVFH3JjPw7h0a6ZPzXxE2LEea8uuO0IOVVyDXKU-4ujnJQNuHSxDtZKSQ2saPv93b-FRubl05EWIJNwQ1VjXYeHS-Lk-Bl5J3E8n80v6inditZK30uUW0TRINE_30a3M3-so6EMZ_mzWBXEPy4s4JIQy8NRBiRU3qBZjUekwRnnXuz0TdugBm6DvlE44zPYnJPQaaBzsTrR00xIJExPKXjLWw0AHfh_QEwU7UkNj9qTGPLkVlk-69ZsAozesNjcMr8c0=&p=10&fvj=1&vjs=3,python
